小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
瑞升林韵,棠湖南路三段,2006,1,2,201,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,202,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,301,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,302,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,401,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,402,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,501,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,502,南北,79
瑞升林韵,棠湖南路三段,2006,1,2,201,东西,90
瑞升林韵,棠湖南路三段,2006,1,2,202,东西,90
瑞升林韵,棠湖南路三段,2006,1,2,301,东西,90
瑞升林韵,棠湖南路三段,2006,1,2,302,东西,90
瑞升林韵,棠湖南路三段,2006,1,2,401,东西,90
瑞升林韵,棠湖南路三段,2006,1,2,402,东西,90
瑞升林韵,棠湖南路三段,2006,1,2,501,东西,90
瑞升林韵,棠湖南路三段,2006,1,2,502,东西,90
瑞升林韵,棠湖南路三段,2006,1,3,201,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,202,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,203,南北,120
瑞升林韵,棠湖南路三段,2006,1,3,204,南北,70
瑞升林韵,棠湖南路三段,2006,1,3,301,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,302,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,303,南北,120
瑞升林韵,棠湖南路三段,2006,1,3,304,南北,70
瑞升林韵,棠湖南路三段,2006,1,3,401,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,402,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,403,南北,120
瑞升林韵,棠湖南路三段,2006,1,3,404,南北,70
瑞升林韵,棠湖南路三段,2006,1,3,501,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,502,南北,110
瑞升林韵,棠湖南路三段,2006,1,3,503,南北,120
瑞升林韵,棠湖南路三段,2006,1,3,504,南北,70
